DLLK, K, pi
-40.0, 1.00000, 1.00000
-39.9, 1.00000, 0.99945
-39.8, 1.00000, 0.99890
-39.7, 1.00000, 0.99835
-39.6, 0.99999, 0.99781
-39.5, 0.99999, 0.99726
-39.4, 0.99999, 0.99673
-39.3, 0.99999, 0.99618
-39.2, 0.99999, 0.99562
-39.1, 0.99999, 0.99505
-39.0, 0.99999, 0.99449
-38.9, 0.99999, 0.99393
-38.8, 0.99999, 0.99337
-38.7, 0.99999, 0.99281
-38.6, 0.99999, 0.99225
-38.5, 0.99999, 0.99168
-38.4, 0.99999, 0.99111
-38.3, 0.99999, 0.99053
-38.2, 0.99998, 0.98998
-38.1, 0.99998, 0.98939
-38.0, 0.99998, 0.98880
-37.9, 0.99998, 0.98823
-37.8, 0.99998, 0.98765
-37.7, 0.99998, 0.98707
-37.6, 0.99998, 0.98649
-37.5, 0.99998, 0.98590
-37.4, 0.99998, 0.98530
-37.3, 0.99998, 0.98469
-37.2, 0.99998, 0.98410
-37.1, 0.99998, 0.98350
-37.0, 0.99998, 0.98288
-36.9, 0.99998, 0.98228
-36.8, 0.99997, 0.98166
-36.7, 0.99997, 0.98105
-36.6, 0.99997, 0.98043
-36.5, 0.99997, 0.97982
-36.4, 0.99997, 0.97920
-36.3, 0.99997, 0.97858
-36.2, 0.99997, 0.97797
-36.1, 0.99997, 0.97733
-36.0, 0.99997, 0.97670
-35.9, 0.99997, 0.97608
-35.8, 0.99997, 0.97543
-35.7, 0.99997, 0.97479
-35.6, 0.99996, 0.97416
-35.5, 0.99996, 0.97352
-35.4, 0.99996, 0.97286
-35.3, 0.99996, 0.97222
-35.2, 0.99996, 0.97156
-35.1, 0.99996, 0.97092
-35.0, 0.99996, 0.97026
-34.9, 0.99996, 0.96960
-34.8, 0.99996, 0.96894
-34.7, 0.99996, 0.96828
-34.6, 0.99995, 0.96760
-34.5, 0.99995, 0.96693
-34.4, 0.99995, 0.96626
-34.3, 0.99995, 0.96558
-34.2, 0.99995, 0.96492
-34.1, 0.99995, 0.96423
-34.0, 0.99995, 0.96355
-33.9, 0.99995, 0.96287
-33.8, 0.99995, 0.96217
-33.7, 0.99995, 0.96149
-33.6, 0.99995, 0.96077
-33.5, 0.99995, 0.96008
-33.4, 0.99995, 0.95938
-33.3, 0.99995, 0.95867
-33.2, 0.99995, 0.95798
-33.1, 0.99995, 0.95727
-33.0, 0.99994, 0.95655
-32.9, 0.99994, 0.95582
-32.8, 0.99994, 0.95510
-32.7, 0.99994, 0.95438
-32.6, 0.99994, 0.95366
-32.5, 0.99994, 0.95294
-32.4, 0.99994, 0.95222
-32.3, 0.99993, 0.95149
-32.2, 0.99993, 0.95073
-32.1, 0.99993, 0.94999
-32.0, 0.99993, 0.94926
-31.9, 0.99993, 0.94850
-31.8, 0.99993, 0.94774
-31.7, 0.99992, 0.94699
-31.6, 0.99992, 0.94623
-31.5, 0.99992, 0.94547
-31.4, 0.99992, 0.94472
-31.3, 0.99992, 0.94396
-31.2, 0.99992, 0.94319
-31.1, 0.99992, 0.94242
-31.0, 0.99992, 0.94163
-30.9, 0.99991, 0.94083
-30.8, 0.99991, 0.94004
-30.7, 0.99991, 0.93926
-30.6, 0.99991, 0.93849
-30.5, 0.99991, 0.93770
-30.4, 0.99991, 0.93689
-30.3, 0.99991, 0.93610
-30.2, 0.99990, 0.93529
-30.1, 0.99990, 0.93450
-30.0, 0.99990, 0.93369
-29.9, 0.99990, 0.93288
-29.8, 0.99990, 0.93205
-29.7, 0.99990, 0.93124
-29.6, 0.99990, 0.93043
-29.5, 0.99989, 0.92962
-29.4, 0.99989, 0.92877
-29.3, 0.99989, 0.92795
-29.2, 0.99989, 0.92711
-29.1, 0.99989, 0.92628
-29.0, 0.99989, 0.92543
-28.9, 0.99989, 0.92458
-28.8, 0.99989, 0.92372
-28.7, 0.99989, 0.92282
-28.6, 0.99989, 0.92195
-28.5, 0.99988, 0.92106
-28.4, 0.99989, 0.92019
-28.3, 0.99988, 0.91932
-28.2, 0.99988, 0.91843
-28.1, 0.99988, 0.91754
-28.0, 0.99988, 0.91666
-27.9, 0.99988, 0.91576
-27.8, 0.99988, 0.91484
-27.7, 0.99988, 0.91395
-27.6, 0.99987, 0.91304
-27.5, 0.99987, 0.91213
-27.4, 0.99987, 0.91120
-27.3, 0.99987, 0.91026
-27.2, 0.99987, 0.90934
-27.1, 0.99987, 0.90840
-27.0, 0.99987, 0.90749
-26.9, 0.99986, 0.90654
-26.8, 0.99987, 0.90563
-26.7, 0.99986, 0.90470
-26.6, 0.99986, 0.90376
-26.5, 0.99986, 0.90281
-26.4, 0.99986, 0.90183
-26.3, 0.99986, 0.90088
-26.2, 0.99986, 0.89993
-26.1, 0.99985, 0.89895
-26.0, 0.99985, 0.89799
-25.9, 0.99985, 0.89701
-25.8, 0.99985, 0.89601
-25.7, 0.99985, 0.89501
-25.6, 0.99984, 0.89404
-25.5, 0.99984, 0.89303
-25.4, 0.99984, 0.89205
-25.3, 0.99983, 0.89105
-25.2, 0.99983, 0.89004
-25.1, 0.99983, 0.88904
-25.0, 0.99983, 0.88803
-24.9, 0.99982, 0.88701
-24.8, 0.99982, 0.88597
-24.7, 0.99982, 0.88492
-24.6, 0.99982, 0.88388
-24.5, 0.99981, 0.88283
-24.4, 0.99981, 0.88177
-24.3, 0.99981, 0.88071
-24.2, 0.99981, 0.87966
-24.1, 0.99980, 0.87859
-24.0, 0.99980, 0.87751
-23.9, 0.99980, 0.87645
-23.8, 0.99980, 0.87538
-23.7, 0.99979, 0.87430
-23.6, 0.99979, 0.87322
-23.5, 0.99979, 0.87210
-23.4, 0.99979, 0.87098
-23.3, 0.99979, 0.86987
-23.2, 0.99979, 0.86875
-23.1, 0.99979, 0.86762
-23.0, 0.99979, 0.86649
-22.9, 0.99978, 0.86536
-22.8, 0.99978, 0.86423
-22.7, 0.99978, 0.86309
-22.6, 0.99978, 0.86195
-22.5, 0.99977, 0.86079
-22.4, 0.99977, 0.85965
-22.3, 0.99977, 0.85850
-22.2, 0.99976, 0.85732
-22.1, 0.99976, 0.85614
-22.0, 0.99975, 0.85495
-21.9, 0.99975, 0.85377
-21.8, 0.99975, 0.85258
-21.7, 0.99974, 0.85140
-21.6, 0.99974, 0.85021
-21.5, 0.99974, 0.84904
-21.4, 0.99974, 0.84785
-21.3, 0.99974, 0.84663
-21.2, 0.99974, 0.84543
-21.1, 0.99974, 0.84418
-21.0, 0.99974, 0.84291
-20.9, 0.99974, 0.84165
-20.8, 0.99973, 0.84041
-20.7, 0.99972, 0.83913
-20.6, 0.99972, 0.83788
-20.5, 0.99972, 0.83662
-20.4, 0.99972, 0.83536
-20.3, 0.99971, 0.83408
-20.2, 0.99971, 0.83281
-20.1, 0.99970, 0.83151
-20.0, 0.99970, 0.83019
-19.9, 0.99970, 0.82892
-19.8, 0.99969, 0.82760
-19.7, 0.99969, 0.82628
-19.6, 0.99968, 0.82495
-19.5, 0.99967, 0.82362
-19.4, 0.99966, 0.82227
-19.3, 0.99966, 0.82096
-19.2, 0.99965, 0.81961
-19.1, 0.99964, 0.81827
-19.0, 0.99964, 0.81692
-18.9, 0.99964, 0.81553
-18.8, 0.99963, 0.81414
-18.7, 0.99963, 0.81276
-18.6, 0.99962, 0.81136
-18.5, 0.99961, 0.80997
-18.4, 0.99961, 0.80861
-18.3, 0.99960, 0.80720
-18.2, 0.99960, 0.80579
-18.1, 0.99959, 0.80437
-18.0, 0.99959, 0.80294
-17.9, 0.99958, 0.80151
-17.8, 0.99957, 0.80010
-17.7, 0.99957, 0.79861
-17.6, 0.99956, 0.79710
-17.5, 0.99956, 0.79562
-17.4, 0.99955, 0.79414
-17.3, 0.99953, 0.79265
-17.2, 0.99953, 0.79114
-17.1, 0.99952, 0.78966
-17.0, 0.99952, 0.78812
-16.9, 0.99951, 0.78663
-16.8, 0.99951, 0.78510
-16.7, 0.99950, 0.78354
-16.6, 0.99948, 0.78202
-16.5, 0.99948, 0.78052
-16.4, 0.99947, 0.77895
-16.3, 0.99947, 0.77735
-16.2, 0.99945, 0.77577
-16.1, 0.99943, 0.77421
-16.0, 0.99942, 0.77259
-15.9, 0.99941, 0.77098
-15.8, 0.99940, 0.76937
-15.7, 0.99938, 0.76772
-15.6, 0.99937, 0.76610
-15.5, 0.99936, 0.76444
-15.4, 0.99935, 0.76276
-15.3, 0.99935, 0.76110
-15.2, 0.99934, 0.75941
-15.1, 0.99932, 0.75772
-15.0, 0.99930, 0.75602
-14.9, 0.99929, 0.75434
-14.8, 0.99927, 0.75268
-14.7, 0.99926, 0.75091
-14.6, 0.99923, 0.74917
-14.5, 0.99921, 0.74744
-14.4, 0.99918, 0.74572
-14.3, 0.99916, 0.74394
-14.2, 0.99914, 0.74221
-14.1, 0.99912, 0.74048
-14.0, 0.99910, 0.73866
-13.9, 0.99909, 0.73686
-13.8, 0.99907, 0.73506
-13.7, 0.99905, 0.73325
-13.6, 0.99903, 0.73144
-13.5, 0.99900, 0.72957
-13.4, 0.99899, 0.72775
-13.3, 0.99898, 0.72585
-13.2, 0.99896, 0.72399
-13.1, 0.99893, 0.72208
-13.0, 0.99890, 0.72023
-12.9, 0.99888, 0.71836
-12.8, 0.99885, 0.71641
-12.7, 0.99882, 0.71450
-12.6, 0.99880, 0.71255
-12.5, 0.99876, 0.71062
-12.4, 0.99874, 0.70860
-12.3, 0.99871, 0.70661
-12.2, 0.99868, 0.70461
-12.1, 0.99864, 0.70258
-12.0, 0.99861, 0.70061
-11.9, 0.99857, 0.69851
-11.8, 0.99854, 0.69644
-11.7, 0.99848, 0.69443
-11.6, 0.99843, 0.69231
-11.5, 0.99838, 0.69019
-11.4, 0.99835, 0.68809
-11.3, 0.99830, 0.68591
-11.2, 0.99827, 0.68374
-11.1, 0.99821, 0.68151
-11.0, 0.99816, 0.67937
-10.9, 0.99812, 0.67720
-10.8, 0.99808, 0.67508
-10.7, 0.99802, 0.67284
-10.6, 0.99797, 0.67062
-10.5, 0.99791, 0.66833
-10.4, 0.99783, 0.66611
-10.3, 0.99777, 0.66381
-10.2, 0.99770, 0.66148
-10.1, 0.99763, 0.65919
-10.0, 0.99755, 0.65689
-9.9, 0.99747, 0.65458
-9.8, 0.99741, 0.65211
-9.7, 0.99733, 0.64973
-9.6, 0.99725, 0.64733
-9.5, 0.99716, 0.64496
-9.4, 0.99707, 0.64249
-9.3, 0.99699, 0.64007
-9.2, 0.99690, 0.63764
-9.1, 0.99681, 0.63514
-9.0, 0.99670, 0.63270
-8.9, 0.99658, 0.63021
-8.8, 0.99647, 0.62764
-8.7, 0.99633, 0.62505
-8.6, 0.99623, 0.62245
-8.5, 0.99611, 0.61985
-8.4, 0.99599, 0.61716
-8.3, 0.99586, 0.61452
-8.2, 0.99572, 0.61190
-8.1, 0.99558, 0.60920
-8.0, 0.99543, 0.60651
-7.9, 0.99526, 0.60380
-7.8, 0.99511, 0.60104
-7.7, 0.99496, 0.59826
-7.6, 0.99479, 0.59554
-7.5, 0.99463, 0.59281
-7.4, 0.99443, 0.58997
-7.3, 0.99425, 0.58717
-7.2, 0.99406, 0.58425
-7.1, 0.99383, 0.58131
-7.0, 0.99358, 0.57836
-6.9, 0.99338, 0.57533
-6.8, 0.99315, 0.57231
-6.7, 0.99290, 0.56924
-6.6, 0.99264, 0.56623
-6.5, 0.99237, 0.56324
-6.4, 0.99211, 0.56015
-6.3, 0.99182, 0.55702
-6.2, 0.99152, 0.55385
-6.1, 0.99120, 0.55069
-6.0, 0.99085, 0.54748
-5.9, 0.99055, 0.54428
-5.8, 0.99023, 0.54086
-5.7, 0.98983, 0.53764
-5.6, 0.98945, 0.53425
-5.5, 0.98900, 0.53095
-5.4, 0.98860, 0.52747
-5.3, 0.98816, 0.52412
-5.2, 0.98770, 0.52056
-5.1, 0.98718, 0.51699
-5.0, 0.98667, 0.51338
-4.9, 0.98608, 0.50961
-4.8, 0.98556, 0.50600
-4.7, 0.98500, 0.50218
-4.6, 0.98444, 0.49841
-4.5, 0.98383, 0.49448
-4.4, 0.98311, 0.49063
-4.3, 0.98240, 0.48671
-4.2, 0.98172, 0.48271
-4.1, 0.98094, 0.47866
-4.0, 0.98017, 0.47453
-3.9, 0.97929, 0.47025
-3.8, 0.97832, 0.46606
-3.7, 0.97745, 0.46193
-3.6, 0.97655, 0.45771
-3.5, 0.97559, 0.45347
-3.4, 0.97454, 0.44914
-3.3, 0.97342, 0.44476
-3.2, 0.97214, 0.44026
-3.1, 0.97084, 0.43575
-3.0, 0.96957, 0.43090
-2.9, 0.96824, 0.42612
-2.8, 0.96676, 0.42106
-2.7, 0.96518, 0.41617
-2.6, 0.96363, 0.41116
-2.5, 0.96186, 0.40595
-2.4, 0.96011, 0.40084
-2.3, 0.95821, 0.39540
-2.2, 0.95626, 0.38938
-2.1, 0.95416, 0.38354
-2.0, 0.95188, 0.37785
-1.9, 0.94944, 0.37147
-1.8, 0.94682, 0.36529
-1.7, 0.94422, 0.35919
-1.6, 0.94117, 0.35260
-1.5, 0.93809, 0.34605
-1.4, 0.93480, 0.33927
-1.3, 0.93116, 0.33232
-1.2, 0.92730, 0.32519
-1.1, 0.92337, 0.31780
-1.0, 0.91807, 0.31032
-0.9, 0.91363, 0.30289
-0.8, 0.90851, 0.29477
-0.7, 0.90347, 0.28753
-0.6, 0.89788, 0.27933
-0.5, 0.89219, 0.27091
-0.4, 0.88634, 0.26246
-0.3, 0.88041, 0.25300
-0.2, 0.87394, 0.24456
-0.1, 0.86749, 0.23600
0.0, 0.86085, 0.22776
0.1, 0.85407, 0.21878
0.2, 0.84668, 0.21050
0.3, 0.84004, 0.20179
0.4, 0.83359, 0.19376
0.5, 0.82628, 0.18594
0.6, 0.81942, 0.17831
0.7, 0.81319, 0.17206
0.8, 0.80687, 0.16560
0.9, 0.80083, 0.15973
1.0, 0.79478, 0.15426
1.1, 0.78893, 0.14832
1.2, 0.78313, 0.14321
1.3, 0.77759, 0.13822
1.4, 0.77216, 0.13265
1.5, 0.76706, 0.12834
1.6, 0.76210, 0.12409
1.7, 0.75721, 0.12018
1.8, 0.75252, 0.11625
1.9, 0.74784, 0.11216
2.0, 0.74307, 0.10862
2.1, 0.73843, 0.10536
2.2, 0.73417, 0.10215
2.3, 0.73006, 0.09914
2.4, 0.72561, 0.09635
2.5, 0.72160, 0.09347
2.6, 0.71770, 0.09087
2.7, 0.71376, 0.08838
2.8, 0.70961, 0.08592
2.9, 0.70579, 0.08356
3.0, 0.70204, 0.08132
3.1, 0.69833, 0.07913
3.2, 0.69466, 0.07718
3.3, 0.69120, 0.07515
3.4, 0.68771, 0.07323
3.5, 0.68427, 0.07152
3.6, 0.68098, 0.06973
3.7, 0.67757, 0.06808
3.8, 0.67426, 0.06650
3.9, 0.67097, 0.06484
4.0, 0.66775, 0.06328
4.1, 0.66449, 0.06175
4.2, 0.66129, 0.06033
4.3, 0.65827, 0.05880
4.4, 0.65519, 0.05729
4.5, 0.65212, 0.05603
4.6, 0.64899, 0.05470
4.7, 0.64602, 0.05349
4.8, 0.64309, 0.05225
4.9, 0.64018, 0.05114
5.0, 0.63729, 0.05012
5.1, 0.63442, 0.04906
5.2, 0.63159, 0.04810
5.3, 0.62882, 0.04710
5.4, 0.62605, 0.04614
5.5, 0.62319, 0.04511
5.6, 0.62046, 0.04411
5.7, 0.61773, 0.04319
5.8, 0.61505, 0.04232
5.9, 0.61235, 0.04148
6.0, 0.60974, 0.04066
6.1, 0.60721, 0.03990
6.2, 0.60456, 0.03913
6.3, 0.60204, 0.03837
6.4, 0.59947, 0.03763
6.5, 0.59702, 0.03688
6.6, 0.59448, 0.03621
6.7, 0.59210, 0.03550
6.8, 0.58966, 0.03486
6.9, 0.58722, 0.03417
7.0, 0.58464, 0.03355
7.1, 0.58220, 0.03294
7.2, 0.57977, 0.03235
7.3, 0.57745, 0.03177
7.4, 0.57502, 0.03117
7.5, 0.57270, 0.03062
7.6, 0.57045, 0.03011
7.7, 0.56821, 0.02954
7.8, 0.56593, 0.02904
7.9, 0.56370, 0.02855
8.0, 0.56147, 0.02807
8.1, 0.55918, 0.02758
8.2, 0.55695, 0.02708
8.3, 0.55477, 0.02661
8.4, 0.55257, 0.02613
8.5, 0.55032, 0.02566
8.6, 0.54816, 0.02524
8.7, 0.54600, 0.02485
8.8, 0.54386, 0.02447
8.9, 0.54181, 0.02405
9.0, 0.53970, 0.02368
9.1, 0.53762, 0.02333
9.2, 0.53553, 0.02296
9.3, 0.53340, 0.02261
9.4, 0.53141, 0.02227
9.5, 0.52940, 0.02192
9.6, 0.52738, 0.02158
9.7, 0.52538, 0.02120
9.8, 0.52337, 0.02087
9.9, 0.52138, 0.02055
10.0, 0.51941, 0.02022
10.1, 0.51743, 0.01989
10.2, 0.51550, 0.01960
10.3, 0.51357, 0.01931
10.4, 0.51166, 0.01898
10.5, 0.50975, 0.01868
10.6, 0.50782, 0.01838
10.7, 0.50596, 0.01808
10.8, 0.50405, 0.01775
10.9, 0.50221, 0.01747
11.0, 0.50036, 0.01719
11.1, 0.49856, 0.01690
11.2, 0.49672, 0.01666
11.3, 0.49487, 0.01640
11.4, 0.49310, 0.01609
11.5, 0.49129, 0.01582
11.6, 0.48952, 0.01556
11.7, 0.48777, 0.01535
11.8, 0.48601, 0.01511
11.9, 0.48423, 0.01491
12.0, 0.48244, 0.01467
12.1, 0.48061, 0.01444
12.2, 0.47894, 0.01425
12.3, 0.47726, 0.01402
12.4, 0.47557, 0.01380
12.5, 0.47392, 0.01361
12.6, 0.47224, 0.01343
12.7, 0.47057, 0.01322
12.8, 0.46891, 0.01302
12.9, 0.46728, 0.01283
13.0, 0.46564, 0.01265
13.1, 0.46403, 0.01246
13.2, 0.46236, 0.01228
13.3, 0.46080, 0.01212
13.4, 0.45919, 0.01194
13.5, 0.45758, 0.01178
13.6, 0.45599, 0.01159
13.7, 0.45442, 0.01141
13.8, 0.45283, 0.01123
13.9, 0.45125, 0.01108
14.0, 0.44970, 0.01093
14.1, 0.44813, 0.01078
14.2, 0.44657, 0.01062
14.3, 0.44500, 0.01045
14.4, 0.44344, 0.01028
14.5, 0.44191, 0.01012
14.6, 0.44038, 0.00998
14.7, 0.43886, 0.00984
14.8, 0.43739, 0.00966
14.9, 0.43592, 0.00953
15.0, 0.43440, 0.00939
15.1, 0.43291, 0.00926
15.2, 0.43143, 0.00912
15.3, 0.42996, 0.00898
15.4, 0.42851, 0.00882
15.5, 0.42706, 0.00871
15.6, 0.42561, 0.00859
15.7, 0.42416, 0.00847
15.8, 0.42272, 0.00834
15.9, 0.42124, 0.00823
16.0, 0.41984, 0.00809
16.1, 0.41840, 0.00796
16.2, 0.41698, 0.00783
16.3, 0.41560, 0.00772
16.4, 0.41421, 0.00760
16.5, 0.41286, 0.00749
16.6, 0.41150, 0.00734
16.7, 0.41009, 0.00722
16.8, 0.40876, 0.00712
16.9, 0.40739, 0.00699
17.0, 0.40600, 0.00689
17.1, 0.40464, 0.00680
17.2, 0.40330, 0.00667
17.3, 0.40195, 0.00657
17.4, 0.40062, 0.00646
17.5, 0.39927, 0.00635
17.6, 0.39796, 0.00627
17.7, 0.39664, 0.00618
17.8, 0.39533, 0.00609
17.9, 0.39400, 0.00600
18.0, 0.39269, 0.00589
18.1, 0.39140, 0.00578
18.2, 0.39010, 0.00568
18.3, 0.38881, 0.00557
18.4, 0.38753, 0.00548
18.5, 0.38624, 0.00539
18.6, 0.38496, 0.00529
18.7, 0.38366, 0.00521
18.8, 0.38237, 0.00512
18.9, 0.38109, 0.00502
19.0, 0.37985, 0.00495
19.1, 0.37859, 0.00488
19.2, 0.37735, 0.00480
19.3, 0.37612, 0.00475
19.4, 0.37486, 0.00464
19.5, 0.37357, 0.00457
19.6, 0.37235, 0.00448
19.7, 0.37111, 0.00441
19.8, 0.36988, 0.00432
19.9, 0.36869, 0.00425
20.0, 0.36750, 0.00417
20.1, 0.36628, 0.00409
20.2, 0.36509, 0.00403
20.3, 0.36389, 0.00397
20.4, 0.36267, 0.00391
20.5, 0.36145, 0.00384
20.6, 0.36025, 0.00378
20.7, 0.35908, 0.00372
20.8, 0.35788, 0.00366
20.9, 0.35671, 0.00358
21.0, 0.35551, 0.00350
21.1, 0.35435, 0.00345
21.2, 0.35317, 0.00340
21.3, 0.35201, 0.00335
21.4, 0.35084, 0.00329
21.5, 0.34965, 0.00323
21.6, 0.34849, 0.00318
21.7, 0.34733, 0.00312
21.8, 0.34617, 0.00305
21.9, 0.34503, 0.00299
22.0, 0.34391, 0.00294
22.1, 0.34277, 0.00288
22.2, 0.34163, 0.00283
22.3, 0.34051, 0.00278
22.4, 0.33940, 0.00272
22.5, 0.33830, 0.00267
22.6, 0.33718, 0.00262
22.7, 0.33608, 0.00258
22.8, 0.33499, 0.00254
22.9, 0.33389, 0.00249
23.0, 0.33280, 0.00244
23.1, 0.33170, 0.00238
23.2, 0.33062, 0.00234
23.3, 0.32953, 0.00230
23.4, 0.32845, 0.00227
23.5, 0.32740, 0.00221
23.6, 0.32632, 0.00218
23.7, 0.32524, 0.00212
23.8, 0.32418, 0.00209
23.9, 0.32313, 0.00204
24.0, 0.32207, 0.00197
24.1, 0.32103, 0.00193
24.2, 0.31997, 0.00187
24.3, 0.31891, 0.00183
24.4, 0.31787, 0.00179
24.5, 0.31684, 0.00176
24.6, 0.31578, 0.00173
24.7, 0.31474, 0.00169
24.8, 0.31371, 0.00165
24.9, 0.31270, 0.00161
25.0, 0.31168, 0.00158
25.1, 0.31064, 0.00154
25.2, 0.30963, 0.00151
25.3, 0.30863, 0.00147
25.4, 0.30763, 0.00145
25.5, 0.30660, 0.00141
25.6, 0.30560, 0.00138
25.7, 0.30458, 0.00135
25.8, 0.30358, 0.00132
25.9, 0.30260, 0.00129
26.0, 0.30161, 0.00126
26.1, 0.30058, 0.00124
26.2, 0.29957, 0.00121
26.3, 0.29860, 0.00117
26.4, 0.29761, 0.00115
26.5, 0.29665, 0.00113
26.6, 0.29567, 0.00110
26.7, 0.29467, 0.00106
26.8, 0.29369, 0.00103
26.9, 0.29272, 0.00099
27.0, 0.29178, 0.00096
27.1, 0.29081, 0.00095
27.2, 0.28983, 0.00093
27.3, 0.28885, 0.00091
27.4, 0.28792, 0.00088
27.5, 0.28696, 0.00085
27.6, 0.28600, 0.00083
27.7, 0.28505, 0.00081
27.8, 0.28410, 0.00079
27.9, 0.28317, 0.00077
28.0, 0.28223, 0.00076
28.1, 0.28128, 0.00074
28.2, 0.28033, 0.00072
28.3, 0.27940, 0.00070
28.4, 0.27847, 0.00069
28.5, 0.27754, 0.00068
28.6, 0.27659, 0.00066
28.7, 0.27567, 0.00065
28.8, 0.27473, 0.00064
28.9, 0.27382, 0.00062
29.0, 0.27289, 0.00061
29.1, 0.27198, 0.00060
29.2, 0.27105, 0.00058
29.3, 0.27014, 0.00057
29.4, 0.26923, 0.00055
29.5, 0.26834, 0.00053
29.6, 0.26743, 0.00052
29.7, 0.26652, 0.00051
29.8, 0.26562, 0.00049
29.9, 0.26474, 0.00047
30.0, 0.26386, 0.00044
30.1, 0.26295, 0.00043
30.2, 0.26205, 0.00041
30.3, 0.26117, 0.00040
30.4, 0.26031, 0.00039
30.5, 0.25942, 0.00036
30.6, 0.25854, 0.00035
30.7, 0.25765, 0.00034
30.8, 0.25677, 0.00033
30.9, 0.25589, 0.00032
31.0, 0.25502, 0.00031
31.1, 0.25413, 0.00030
31.2, 0.25328, 0.00029
31.3, 0.25244, 0.00028
31.4, 0.25159, 0.00027
31.5, 0.25075, 0.00026
31.6, 0.24992, 0.00025
31.7, 0.24904, 0.00024
31.8, 0.24820, 0.00023
31.9, 0.24738, 0.00022
32.0, 0.24653, 0.00021
32.1, 0.24569, 0.00021
32.2, 0.24487, 0.00019
32.3, 0.24403, 0.00019
32.4, 0.24321, 0.00018
32.5, 0.24238, 0.00017
32.6, 0.24157, 0.00017
32.7, 0.24074, 0.00016
32.8, 0.23991, 0.00014
32.9, 0.23909, 0.00014
33.0, 0.23824, 0.00013
33.1, 0.23739, 0.00012
33.2, 0.23656, 0.00012
33.3, 0.23574, 0.00011
33.4, 0.23494, 0.00011
33.5, 0.23412, 0.00011
33.6, 0.23332, 0.00010
33.7, 0.23253, 0.00009
33.8, 0.23173, 0.00009
33.9, 0.23093, 0.00008
34.0, 0.23012, 0.00007
34.1, 0.22932, 0.00007
34.2, 0.22854, 0.00006
34.3, 0.22773, 0.00006
34.4, 0.22696, 0.00005
34.5, 0.22617, 0.00005
34.6, 0.22538, 0.00005
34.7, 0.22459, 0.00004
34.8, 0.22382, 0.00004
34.9, 0.22304, 0.00003
35.0, 0.22225, 0.00003
35.1, 0.22149, 0.00003
35.2, 0.22073, 0.00002
35.3, 0.21994, 0.00002
35.4, 0.21917, 0.00002
35.5, 0.21842, 0.00001
35.6, 0.21766, 0.00001
35.7, 0.21690, 0.00001
35.8, 0.21613, 0.00001
35.9, 0.21537, 0.00000
36.0, 0.21462, 0.00000
36.1, 0.21386, -0.00000
36.2, 0.21311, -0.00000
36.3, 0.21236, -0.00000
36.4, 0.21161, -0.00000
36.5, 0.21085, -0.00001
36.6, 0.21011, -0.00001
36.7, 0.20937, -0.00002
36.8, 0.20864, -0.00002
36.9, 0.20790, -0.00002
37.0, 0.20719, -0.00002
37.1, 0.20643, -0.00002
37.2, 0.20571, -0.00002
37.3, 0.20498, -0.00002
37.4, 0.20425, -0.00003
37.5, 0.20352, -0.00003
37.6, 0.20278, -0.00003
37.7, 0.20205, -0.00004
37.8, 0.20135, -0.00004
37.9, 0.20063, -0.00004
38.0, 0.19991, -0.00005
38.1, 0.19918, -0.00005
38.2, 0.19848, -0.00005
38.3, 0.19777, -0.00006
38.4, 0.19709, -0.00006
38.5, 0.19638, -0.00006
38.6, 0.19567, -0.00006
38.7, 0.19496, -0.00006
38.8, 0.19426, -0.00006
38.9, 0.19356, -0.00006
39.0, 0.19285, -0.00007
39.1, 0.19216, -0.00006
39.2, 0.19147, -0.00007
39.3, 0.19078, -0.00007
39.4, 0.19010, -0.00007
39.5, 0.18943, -0.00007
39.6, 0.18876, -0.00007
39.7, 0.18807, -0.00007
39.8, 0.18739, -0.00007
39.9, 0.18670, -0.00007
40.0, 0.18601, -0.00008
